date,package,chroot,name,kind,geomean_diff,iteration,total_iterations,timestamp,testing_farm_request_id,cpu_info_address_sizes,cpu_info_architecture,cpu_info_bogomips,cpu_info_byte_order,cpu_info_cores_per_socket,cpu_info_cpu_family,cpu_info_cpu_max_mhz,cpu_info_cpu_min_mhz,cpu_info_cpu_opmodes,cpu_info_cpus,cpu_info_flags,cpu_info_l1d_cache,cpu_info_l1i_cache,cpu_info_l2_cache,cpu_info_l3_cache,cpu_info_model_name,cpu_info_model,cpu_info_numa_nodes,cpu_info_numa_node0_cpus,cpu_info_online_cpus_list,cpu_info_sockets,cpu_info_threads_per_core,cpu_info_vendor_id,cpu_info_virtualization,cpu_info_vulnerability_gather_data_sampling,cpu_info_vulnerability_itlb_multihit,cpu_info_vulnerability_l1tf,cpu_info_vulnerability_mds,cpu_info_vulnerability_meltdown,cpu_info_vulnerability_mmio_stale_data,cpu_info_vulnerability_reg_file_data_sampling,cpu_info_vulnerability_retbleed,cpu_info_vulnerability_spec_rstack_overflow,cpu_info_vulnerability_spec_store_bypass,cpu_info_vulnerability_spectre_v1,cpu_info_vulnerability_spectre_v2
2025/05/13,llvm,fedora-rawhide-x86_64,pgo_vs_big-merge,compile_time,46.7,2,2,1747190085,ba4970df-d3b7-44f5-ae31-1ed034b1f1db,"48 bits physical, 48 bits virtual",x86_64,5299.99,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/13,llvm,fedora-rawhide-x86_64,pgo_vs_system,compile_time,45.4,1,2,1747190088,ba4970df-d3b7-44f5-ae31-1ed034b1f1db,"48 bits physical, 48 bits virtual",x86_64,5299.99,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/13,llvm,fedora-rawhide-x86_64,pgo_vs_system,compile_time,45.2,2,2,1747190088,ba4970df-d3b7-44f5-ae31-1ed034b1f1db,"48 bits physical, 48 bits virtual",x86_64,5299.99,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/13,llvm,fedora-rawhide-x86_64,big-merge_vs_system,compile_time,-1.0,1,2,1747190091,ba4970df-d3b7-44f5-ae31-1ed034b1f1db,"48 bits physical, 48 bits virtual",x86_64,5299.99,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/13,llvm,fedora-rawhide-x86_64,big-merge_vs_system,compile_time,-1.0,2,2,1747190091,ba4970df-d3b7-44f5-ae31-1ed034b1f1db,"48 bits physical, 48 bits virtual",x86_64,5299.99,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/14,llvm,centos-stream-10-x86_64,pgo_vs_big-merge,compile_time,48.6,1,2,1747276418,e93b622d-be75-4a16-8c5e-104064c1f5fd,"48 bits physical, 48 bits virtual",x86_64,5300.0,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/14,llvm,centos-stream-10-x86_64,pgo_vs_big-merge,compile_time,48.5,2,2,1747276418,e93b622d-be75-4a16-8c5e-104064c1f5fd,"48 bits physical, 48 bits virtual",x86_64,5300.0,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/14,llvm,centos-stream-10-x86_64,pgo_vs_system,compile_time,47.4,1,2,1747276421,e93b622d-be75-4a16-8c5e-104064c1f5fd,"48 bits physical, 48 bits virtual",x86_64,5300.0,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/14,llvm,centos-stream-10-x86_64,pgo_vs_system,compile_time,47.1,2,2,1747276421,e93b622d-be75-4a16-8c5e-104064c1f5fd,"48 bits physical, 48 bits virtual",x86_64,5300.0,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
2025/05/14,llvm,centos-stream-10-x86_64,big-merge_vs_system,compile_time,-0.8,1,2,1747276424,e93b622d-be75-4a16-8c5e-104064c1f5fd,"48 bits physical, 48 bits virtual",x86_64,5300.0,Little Endian,1,25.0,,,"32-bit, 64-bit",2,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr rdpru wbnoinvd arat npt nrip_save vaes vpclmulqdq rdpid,32768 (1 instance),32768 (1 instance),524288 (1 instance),4194304 (1 instance),AMD EPYC 7R13 Processor,1,,"0,1","0,1",1,2,AuthenticAMD,,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Mitigation; Safe RET,Mitigation; Speculative Store Bypass disabled via prctl,Mitigation; usercopy/swapgs barriers and __user pointer sanitization,Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP always-on; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
